Año;Trimestre;Provincia;HASTA 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;OTROS;TOTAL
2015;1;Capital Federal;2.545;59.084;1013.51;134.151;114.569;1.195;8.401;0;1333.455
2015;1;Catamarca;13;7.634;13.754;3.202;517;9;1;0;564.59
2015;1;Chaco;26;12.053;47.425;15.883;5.346;489;135;0;730.707
2015;1;Chubut;651;6.176;57.333;102;0;0;0;0;816.509
2015;1;Córdoba;157;78.427;432.802;46.574;37.443;1.615;815;0;1568.861
2015;1;Corrientes;36;13.295;47.842;15.554;4.424;235;98;0;450.115
2015;1;Entre Ríos;2.867;23.951;104.168;28.113;6.926;274;119;0;559.025
2015;1;Formosa;1.891;7.336;14.413;2.024;878;157;1;0;1061.664
2015;1;Jujuy;2.458;9.754;19.858;3.939;603;0;0;0;639.009
2015;1;La Pampa;6.059;8.054;45.038;26;10;13;10;0;118.151
2015;1;La Rioja;11;4.201;9.379;2.207;533;0;3;0;562.787
2015;1;Mendoza;287;24;169.763;38;16;6;11;0;551.763
2015;1;Misiones;958;11.136;51.906;12.387;8.543;194;26;0;1261.972
2015;1;Neuquén;1.895;2.577;80.787;170;4.067;2;76;0;337.326
2015;1;Río Negro;3.371;4.913;86.173;94;2.632;2;42;0;235.089
2015;1;Salta;1.123;14.151;64.992;13.955;2.569;15;5;0;116.79
2015;1;San Juan;8;445;51.346;0;0;0;2;0;506.346
2015;1;San Luis;10;8;12.72;0;1;0;2;0;33.72
2015;1;Santa Cruz;205;27;26.048;2;0;0;0;0;260.048
2015;1;Santa Fe;6.883;93.096;360.964;45.27;27.597;1.542;900;0;1435.352
2015;1;Santiago Del Estero;701;9.236;23.136;4.796;748;0;0;0;1486.168
2015;1;Tierra Del Fuego;14;609;36.319;2;0;0;0;0;661.319
2015;1;Tucumán;107;27.143;83.895;23.061;3.722;334;0;0;578.821
