Anio,Trimestre,Provincia,ADSL,Cablemodem,fibra_optica,Wireless,otras_tecnologias,accesos_hogares,banda_ancha,dial_up,velocidad_512kpbs,velocidad_1Mbps,velocidad_6Mbps,velocidad_10Mbps,velocidad_20Mbps,velocidad_30Mbps,velocidad_mas30Mbps,velocidad_otros,velocidad_bajada
2022,1,Formosa,16,16,5,17,202,3496,55,0.0,97.0,448.0,24.113,6.945,6.613,716.0,15.028,588.0,3.028
2022,1,Jujuy,21,61,26,5,4,5806,117,0.0,58.0,1.761,22.141,16.321,37.923,576.0,35.287,2.442,2.769
2022,1,La Pampa,8,59,22,20,1,9166,110,172.0,301.0,2.223,62.812,9.869,12.044,5.25,14.4,2.833,1.484
2022,1,La Rioja,9,59,10,6,31,7877,84,4.0,18.0,778.0,3.576,4.692,23.624,5.645,45.97,0.0,4.137
2022,1,Mendoza,49,74,123,27,1,4874,274,786.0,114.0,3.355,51.23,26.407,74.178,21.566,95.048,3.287,2.62
2022,1,Misiones,39,92,25,8,8,4904,172,0.0,51.0,3.873,35.655,22.261,26.855,15.854,58.61,8.349,4.187
2022,1,Neuquén,28,73,24,23,745,7417,149,471.0,137.0,1.123,39.856,15.623,11.163,2.654,71.238,7.885,4.305
2022,1,Río Negro,39,45,38,17,18,6704,157,553.0,116.0,1.383,35.565,18.859,26.926,14.144,37.729,22.652,3.109
2022,1,Salta,45,99,41,6,7,5611,198,5.0,114.0,1.725,35.576,68.246,6.313,2.214,76.838,6.489,3.671
2022,1,San Juan,34,14,11,21,8,4355,88,290.0,26.0,2.269,32.356,11.914,25.144,2.088,11.916,2.465,1.199
2022,1,San Luis,8,11,31,72,29,8072,120,185.0,61.0,643.0,8.287,3.837,9.802,68.612,13.0,28.589,2.095
2022,1,Santa Cruz,11,23,11,4,405,4334,49,204.0,51.0,6.898,12.71,11.502,12.277,2.628,2.551,485.0,1.089
2022,1,Santa Fe,213,445,147,45,21,7730,870,115.0,468.0,12.435,143.796,208.361,84.787,58.018,344.17,18.444,3.889
